,City,Temperature_max,Wind,Humidity,Latitude,Longitude,Cloudiness,Country
400,sanmenxia,17.77,2.16,43,34.7747,111.1814,4,CN
401,port hardy,12.0,4.63,71,50.6996,-127.4199,75,CA
402,tommot,2.71,3.77,92,58.9564,126.2925,100,RU
403,puerto ayacucho,26.94,2.28,76,5.6639,-67.6236,74,VE
404,tagusao,28.77,1.89,69,9.1924,117.8141,73,PH
405,payo,26.22,0.59,74,-3.7508,103.6372,17,ID
406,kitimat,16.11,0.89,43,54.0524,-128.6534,67,CA
407,sao desiderio,23.66,0.87,69,-12.3633,-44.9733,93,BR
408,vostok,13.27,1.84,27,46.4856,135.8833,100,RU
409,gold coast,24.44,6.17,56,-28.0,153.4333,40,AU
410,harper,26.74,2.99,83,4.375,-7.7169,31,LR
411,lazaro cardenas,26.65,3.62,63,17.9583,-102.2,100,MX
412,alyangula,25.0,4.63,100,-13.8483,136.4192,75,AU
413,mopti,31.0,2.06,33,14.6667,-4.0,0,ML
414,saryozek,12.47,2.35,41,44.3583,77.9753,8,KZ
415,canavieiras,23.57,2.19,80,-15.675,-38.9472,31,BR
416,mokhsogollokh,0.46,3.81,87,61.4681,128.9203,100,RU
417,verkhnevilyuysk,-7.18,4.61,72,63.4453,120.3167,100,RU
418,ganzhou,17.62,0.82,93,28.8184,115.4327,100,CN
419,manjakandriana,16.0,2.06,88,-18.9167,47.8,75,MG
420,taoudenni,32.1,4.5,14,22.6783,-3.9836,14,ML
421,mercedes,14.44,2.06,97,-34.6515,-59.4307,22,AR
422,bonavista,4.0,5.14,70,48.6499,-53.1147,100,CA
423,mobaye,21.45,0.72,93,4.319,21.1786,17,CF
